,Country,Year,Happiness Rank,Happiness Score
0,Finland,2018,1,7.632000000000001
1,Norway,2018,2,7.593999999999999
2,Denmark,2018,3,7.555
3,Iceland,2018,4,7.495
4,Switzerland,2018,5,7.487
5,Netherlands,2018,6,7.441
6,Canada,2018,7,7.327999999999999
7,New Zealand,2018,8,7.324
8,Sweden,2018,9,7.314
9,Australia,2018,10,7.272
10,United Kingdom,2018,11,7.19
11,Austria,2018,12,7.138999999999999
12,Costa Rica,2018,13,7.072
13,Ireland,2018,14,6.977
14,Germany,2018,15,6.965
15,Belgium,2018,16,6.9270000000000005
16,Luxembourg,2018,17,6.91
17,United States,2018,18,6.886
18,Israel,2018,19,6.814
19,United Arab Emirates,2018,20,6.774
20,Czech Republic,2018,21,6.711
21,Malta,2018,22,6.627000000000001
22,France,2018,23,6.489
23,Mexico,2018,24,6.4879999999999995
24,Chile,2018,25,6.476
25,Taiwan,2018,26,6.441
26,Panama,2018,27,6.43
27,Brazil,2018,28,6.419
28,Argentina,2018,29,6.388
29,Guatemala,2018,30,6.382000000000001
30,Uruguay,2018,31,6.379
31,Qatar,2018,32,6.374
32,Saudi Arabia,2018,33,6.371
33,Singapore,2018,34,6.343
34,Malaysia,2018,35,6.322
35,Spain,2018,36,6.31
36,Colombia,2018,37,6.26
37,Trinidad & Tobago,2018,38,6.192
38,Slovakia,2018,39,6.172999999999999
39,El Salvador,2018,40,6.167000000000001
40,Nicaragua,2018,41,6.141
41,Poland,2018,42,6.122999999999999
42,Bahrain,2018,43,6.105
43,Uzbekistan,2018,44,6.096
44,Kuwait,2018,45,6.082999999999999
45,Thailand,2018,46,6.072
46,Italy,2018,47,6.0
47,Ecuador,2018,48,5.973
48,Belize,2018,49,5.956
49,Lithuania,2018,50,5.952000000000001
50,Slovenia,2018,51,5.9479999999999995
51,Romania,2018,52,5.945
52,Latvia,2018,53,5.933
53,Japan,2018,54,5.915
54,Mauritius,2018,55,5.891
55,Jamaica,2018,56,5.89
56,South Korea,2018,57,5.875
57,Northern Cyprus,2018,58,5.835
58,Russia,2018,59,5.81
59,Kazakhstan,2018,60,5.79
60,Cyprus,2018,61,5.7620000000000005
61,Bolivia,2018,62,5.752000000000001
62,Estonia,2018,63,5.739
63,Paraguay,2018,64,5.681
64,Peru,2018,65,5.662999999999999
65,Kosovo,2018,66,5.662000000000001
66,Moldova,2018,67,5.64
67,Turkmenistan,2018,68,5.636
68,Hungary,2018,69,5.62
69,Libya,2018,70,5.566
70,Philippines,2018,71,5.524
71,Honduras,2018,72,5.504
72,Belarus,2018,73,5.483
73,Turkey,2018,74,5.483
74,Pakistan,2018,75,5.472
75,Hong Kong,2018,76,5.43
76,Portugal,2018,77,5.41
77,Serbia,2018,78,5.398
78,Greece,2018,79,5.358
79,Lebanon,2018,80,5.358
80,Montenegro,2018,81,5.347
81,Croatia,2018,82,5.321000000000001
82,Dominican Republic,2018,83,5.3020000000000005
83,Algeria,2018,84,5.295
84,Morocco,2018,85,5.254
85,China,2018,86,5.246
86,Azerbaijan,2018,87,5.2010000000000005
87,Tajikistan,2018,88,5.199
88,Macedonia,2018,89,5.185
89,Jordan,2018,90,5.1610000000000005
90,Nigeria,2018,91,5.155
91,Kyrgyzstan,2018,92,5.131
92,Bosnia and Herzegovina,2018,93,5.129
93,Mongolia,2018,94,5.125
94,Vietnam,2018,95,5.103
95,Indonesia,2018,96,5.093
96,Bhutan,2018,97,5.082
97,Somalia,2018,98,4.982
98,Cameroon,2018,99,4.975
99,Bulgaria,2018,100,4.933
100,Nepal,2018,101,4.88
101,Venezuela,2018,102,4.806
102,Gabon,2018,103,4.758
103,Palestinian Territories,2018,104,4.743
104,South Africa,2018,105,4.724
105,Iran,2018,106,4.707
106,Ivory Coast,2018,107,4.671
107,Ghana,2018,108,4.657
108,Senegal,2018,109,4.631
109,Laos,2018,110,4.623
110,Tunisia,2018,111,4.592
111,Albania,2018,112,4.586
112,Sierra Leone,2018,113,4.571000000000001
113,Congo (Brazzaville),2018,114,4.559
114,Bangladesh,2018,115,4.5
115,Sri Lanka,2018,116,4.471
116,Iraq,2018,117,4.456
117,Mali,2018,118,4.447
118,Namibia,2018,119,4.441
119,Cambodia,2018,120,4.433
120,Burkina Faso,2018,121,4.4239999999999995
121,Egypt,2018,122,4.419
122,Mozambique,2018,123,4.417
123,Kenya,2018,124,4.41
124,Zambia,2018,125,4.377
125,Mauritania,2018,126,4.356
126,Ethiopia,2018,127,4.35
127,Georgia,2018,128,4.34
128,Armenia,2018,129,4.321000000000001
129,Myanmar,2018,130,4.308
130,Chad,2018,131,4.301
131,Congo (Kinshasa),2018,132,4.245
132,India,2018,133,4.19
133,Niger,2018,134,4.166
134,Uganda,2018,135,4.1610000000000005
135,Benin,2018,136,4.141
136,Sudan,2018,137,4.138999999999999
137,Ukraine,2018,138,4.103
138,Togo,2018,139,3.9989999999999997
139,Guinea,2018,140,3.964
140,Lesotho,2018,141,3.8080000000000003
141,Angola,2018,142,3.795
142,Madagascar,2018,143,3.7739999999999996
143,Zimbabwe,2018,144,3.6919999999999997
144,Afghanistan,2018,145,3.6319999999999997
145,Botswana,2018,146,3.59
146,Malawi,2018,147,3.5869999999999997
147,Haiti,2018,148,3.582
148,Liberia,2018,149,3.495
149,Syria,2018,150,3.4619999999999997
150,Rwanda,2018,151,3.408
151,Yemen,2018,152,3.355
152,Tanzania,2018,153,3.303
153,South Sudan,2018,154,3.2539999999999996
154,Central African Republic,2018,155,3.083
155,Burundi,2018,156,2.905
